,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,country
213,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,Colombia
214,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,Chile
215,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,Spain
216,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,France
217,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,Indonesia
218,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,Israel
219,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,Italy
220,Dance Monkey,Tones and I,australian pop,2019,31/12/1969,98,59,82,-6,15,51,209,69,9,100,Malasya
221,Daniela,Rodolfo Aicardi,classic colombian pop,2012,31/12/1969,142,56,62,-7,18,93,198,52,3,51,Colombia
222,Dans l'univers,Nekfeu,french hip hop,2019,31/12/1969,132,42,64,-10,14,20,244,33,17,75,France
223,Der Bratan bleibt der gleiche,Capital Bra,german hip hop,2019,31/12/1969,96,70,61,-4,57,67,192,13,37,83,Germany
224,Desconocidos,Mau y Ricky,latin,2019,31/12/1969,174,75,72,-5,21,68,205,12,18,79,Bolivia
225,Detente,Mike Bahía,colombian pop,2019,31/12/1969,172,59,74,-5,11,36,182,27,35,77,Bolivia
226,"Dheeme Dheeme (From ""Pati Patni Aur Woh"")",Tony Kakkar,desi pop,2019,31/12/1969,110,97,80,-2,35,69,177,15,4,68,India
227,Distant,Maes,french hip hop,2019,31/12/1969,105,73,75,-6,7,49,162,56,19,72,France
228,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,31/12/1969,170,71,74,-4,8,83,259,5,9,88,Argentina
229,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,31/12/1969,170,71,74,-4,8,83,259,5,9,88,Bolivia
230,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,31/12/1969,170,71,74,-4,8,83,259,5,9,88,Chile
